Spanish,English,Italian
de,of,di
la,the,il
que,that,quello
el,the,il
en,in,in
y,and,e
a,a,un
los,the,il
se,I know,lo so
del,of,di
las,the,il
un,a,un
por,for,per
con,with,insieme a
no,not,non
una,a,un
su,his,il suo
para,to,a
es,is,è
al,to the,al
lo,it,esso
como,What,Che cosa
más,more,Di più
o,either,o
pero,but,ma
sus,their,loro
le,you,voi
ha,ha,ah
me,I,io
si,Yeah,Sì
sin,without,privo di
sobre,upon,su
este,East,Est
ya,Already,Già
entre,Come in,Entra
cuando,when,quando
todo,everything,Tutto quanto
esta,is,è
ser,to be,essere
son,They are,Sono
dos,two,Due
también,too,pure
fue,it was,era
había,there was,c'era
era,was,era
muy,very,molto
años,years,anni
hasta,until,fino a
desde,since,da
está,this,questo
mi,me,me
porque,why,perché
qué,what,che cosa
sólo,only,solo
han,they have,loro hanno
yo,I,io
hay,there are,ci sono
vez,time,tempo
puede,may,Maggio
todos,everyone,tutti
así,So,Così
nos,us,noi
ni,neither,né
parte,part,parte
tiene,have,avere
él,he,lui
uno,one,uno
donde,where,dove
bien,all right,Tutto ok
tiempo,weather,tempo metereologico
mismo,same,stesso
ese,that,quello
ahora,now,adesso
cada,every,ogni
e,and,e
vida,life,vita
otro,other,Altro
después,after,dopo
te,tea,Tè
otros,others,altri
aunque,even though,nonostante
esa,that,quello
eso,that,quello
hace,does,fa
otra,other,Altro
gobierno,government,governo
tan,so,così
durante,during,durante
siempre,forever,per sempre
día,day,giorno
tanto,so much,tanto
ella,she,lei
tres,three,tre
sí,Yeah,Sì
dijo,said,disse
sido,been,stato
gran,big,grande
país,country,nazione
según,according to,secondo
menos,less,meno
mundo,world,mondo
año,year,anno
antes,before,prima
estado,condition,condizione
contra,against,contro
sino,otherwise,altrimenti
forma,form,modulo
caso,case,Astuccio
nada,nothing,niente
hacer,do,fare
general,general,generale
estaba,was,era
poco,little bit,un po
estos,these,queste
presidente,President,Presidente
mayor,elderly,anziano
ante,in view of,in vista di
unos,some,alcuni
les,them,loro
algo,something,qualcosa
hacia,toward,verso
casa,house,Casa
ellos,them,loro
ayer,Yesterday,Ieri
hecho,done,fatto
primera,first,primo
mucho,much,tanto
mientras,While,Mentre
además,further,ulteriore
quien,who,chi
momento,moment,momento
millones,millions,milioni
esto,this,questo
españa,Spain,Spagna
hombre,man,uomo
están,is it so,è così
pues,well,bene
hoy,today,oggi
